tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles,count_gas_stations,avg_gas_station_visits_on_weekday,avg_gas_station_visits_on_weekend,land_m
04013071600,AZ,2062.0,4192,4234.3,0.99,34948,33.5992314,-112.3036322,"31,544",928,2.94,"33,855",48.0,6.78,4,852.0,824.0,2556597.0
04001944100,AZ,3719.0,5495,7.8,708.25,28178,36.4404164,-109.2655112,"748,375","46,750",6.25,"23,491",29.0,0.0,4,49.0,40.0,1.830864447E9
04005945000,AZ,6134.0,4006,2.6,1529.12,37190,36.4958135,-111.702715,"112,428","4,320",3.84,"29,516",33.0,0.0,4,74.0,79.0,3.952401131E9
04009961202,AZ,691.0,4102,161.7,25.37,66536,32.8235635,-109.7449593,"103,005","2,160",2.1,"61,782",35.0,13.01,4,15.0,8.0,6.537594E7
04012940300,AZ,10759.0,3622,9.4,387.24,35846,33.8749524,-114.3598873,"315,968","20,992",6.64,"32,804",35.0,92.2,4,187.0,215.0,9.93670265E8
04007000302,AZ,3312.0,3042,11.6,262.39,55467,34.2630256,-111.3249112,"73,899","1,026",1.39,"44,877",55.0,61.89,4,226.0,358.0,6.80561409E8
04009961500,AZ,3676.0,4702,6.8,694.3,56026,32.7769138,-109.7303022,"37,800",568,1.5,"54,924",40.0,22.88,4,134.0,139.0,1.794672271E9
04005001302,AZ,4189.0,5547,18.7,297.28,83734,35.2165011,-111.4556387,"145,908","2,484",1.7,"79,806",38.0,97.59,4,70.0,84.0,7.83976404E8
04013060904,AZ,459.0,3915,6991.1,0.56,55104,33.5982221,-112.3092163,"103,140","1,971",1.91,"55,525",28.0,7.3,1,0.0,0.0,0.0
04013040527,AZ,3215.0,4434,4717.0,0.94,64010,33.646163,-112.4225165,"110,538","1,350",1.22,"60,507",64.0,8.06,1,0.0,0.0,0.0
04013061300,AZ,1833.0,2050,1413.8,1.45,55702,33.441513,-112.363425,"1,891",59,3.12,"42,378",36.0,8.05,4,0.0,0.0,0.0
04013040529,AZ,1604.0,3603,2280.4,1.58,69380,33.6580005,-112.3936621,"199,424","1,344",0.67,"62,184",75.0,7.55,4,0.0,0.0,0.0
04013060902,AZ,917.0,3514,6275.0,0.56,42623,33.6111004,-112.3343008,"88,371","2,025",2.29,"41,364",36.0,6.95,4,0.0,0.0,0.0
04003000700,AZ,512.0,4833,345.7,13.98,52395,31.3914408,-109.4939979,"276,992","7,680",2.77,"54,065",29.0,23.31,4,0.0,0.0,0.0
04013071802,AZ,688.0,3575,3192.0,1.12,38926,33.569933,-112.286607,"219,328","2,496",1.14,"34,910",72.0,6.25,4,0.0,0.0,0.0
04013061040,AZ,5726.0,4567,9514.6,0.48,72047,33.5978082,-112.3383548,"115,938","4,644",4.01,"58,167",34.0,7.41,4,0.0,0.0,0.0
04013050701,AZ,3436.0,7711,2724.7,2.83,63454,33.3849664,-112.5761516,"52,208",912,1.75,"53,535",29.0,13.35,4,0.0,0.0,0.0
04007000200,AZ,1656.0,2132,10.2,209.8,47163,34.3527138,-111.1878756,"66,258","1,593",2.4,"47,910",54.0,74.59,4,0.0,0.0,0.0
04013061013,AZ,1833.0,6049,3417.5,1.77,105761,33.5004813,-112.3364892,"53,752","1,552",2.89,"86,403",32.0,7.36,4,0.0,0.0,0.0
04013061039,AZ,5747.0,6004,1512.3,3.97,105113,33.5832357,-112.3695884,"119,421","3,105",2.6,"104,125",38.0,7.41,4,0.0,0.0,0.0
04027000800,AZ,3742.0,4935,5483.3,0.9,51871,32.6965198,-114.6395108,"648,125","26,000",4.01,"46,371",31.0,2.16,10,71.0,61.0,2315471.0
16005001601,ID,3316.0,2607,3671.8,0.71,32707,42.8643742,-112.4563286,"20,192",840,4.16,"27,478",35.0,5.38,5,116.0,98.0,1919660.0
04027011403,AZ,5995.0,3940,3581.8,1.1,41168,32.4878609,-114.7742597,"35,112","2,200",6.27,"41,306",35.0,7.04,5,146.0,132.0,2898375.0
16005001400,ID,1938.0,4382,2504.0,1.75,44558,42.8886811,-112.4575285,"517,125","20,375",3.94,"40,956",36.0,5.42,2,246.0,262.0,4491953.0
04019941000,AZ,801.0,3759,1032.7,3.64,41525,32.1155022,-111.0666375,"33,496","1,840",5.49,"34,732",23.0,9.4,1,308.0,346.0,9063536.0
04021001405,AZ,4082.0,3890,1861.2,2.09,62393,32.8868498,-111.7096512,"126,468","2,079",1.64,"52,010",57.0,11.52,3,488.0,612.0,5385124.0
04021941200,AZ,2722.0,7117,37.2,191.38,21474,33.0445167,-111.6915321,"368,000","14,400",3.91,"27,465",31.0,18.75,6,66.0,59.0,4.95549176E8
04019004721,AZ,4831.0,3893,1802.3,2.16,76072,32.2761474,-110.8710186,"97,524","1,539",1.58,"83,185",51.0,6.8,1,550.0,409.0,5430715.0
04023966301,AZ,1118.0,4243,202.4,20.96,42108,31.3595106,-110.8681425,"126,549","4,725",3.73,"42,751",36.0,17.24,1,82.0,65.0,5.4277124E7
04023966000,AZ,595.0,2965,5.3,556.07,54590,31.6918357,-110.7206593,"83,106","1,161",1.4,"51,971",56.0,30.62,3,97.0,158.0,1.440185726E9
16005000600,ID,3417.0,3688,299.6,12.31,55408,42.8215546,-112.3732843,"33,008",672,2.04,"46,173",30.0,8.35,2,232.0,172.0,3.4804742E7
16005000700,ID,2752.0,3729,2375.2,1.57,39208,42.8557309,-112.4227829,"116,154","3,294",2.84,"40,360",29.0,7.06,1,59.0,51.0,3929630.0
16005001900,ID,11456.0,5143,7.8,662.04,74385,42.4080337,-112.0880443,"336,128","5,888",1.75,"60,919",42.0,23.36,13,131.0,153.0,1.71224159E9
04027010911,AZ,1579.0,6700,1042.0,6.43,83040,32.6922154,-114.5189491,"174,906","9,018",5.16,"65,041",27.0,5.6,10,566.0,528.0,1.6435817E7
04023966200,AZ,2142.0,4751,806.6,5.89,36840,31.3739018,-110.9412078,"126,765","2,457",1.94,"33,571",33.0,16.58,11,129.0,111.0,1.5846564E7
04023966402,AZ,2504.0,4018,4274.5,0.94,30346,31.3379767,-110.9414492,"275,136","7,936",2.88,"25,846",34.0,18.85,5,81.0,68.0,2496694.0
04023966401,AZ,3234.0,3230,1045.3,3.09,31591,31.3559031,-110.9384859,"24,904","1,104",4.43,"22,995",43.0,14.62,8,107.0,92.0,8065200.0
04027000908,AZ,8267.0,4648,522.8,8.89,98230,32.6765294,-114.6760065,"29,776",248,0.83,"105,000",38.0,4.07,1,366.0,353.0,2.3008522E7
04021000603,AZ,1693.0,6079,1717.2,3.54,88584,32.5201875,-110.9066786,"50,832",512,1.01,"82,178",69.0,15.06,1,98.0,47.0,9185899.0
16005000800,ID,803.0,3097,1972.6,1.57,24763,42.8535038,-112.4332669,"2,570",39,1.52,"23,179",24.0,9.43,1,259.0,204.0,3812645.0
16005001700,ID,3417.0,3778,643.6,5.87,88546,42.8141288,-112.4312281,"28,440",600,2.11,"77,234",43.0,8.17,2,84.0,81.0,1.4043342E7
16005001603,ID,803.0,2632,1040.3,2.53,48285,42.8490608,-112.4415058,"23,504",184,0.78,"34,688",33.0,5.75,2,35.0,21.0,6486566.0
16005001500,ID,2678.0,6226,2110.5,2.95,53611,42.9029905,-112.4858834,"721,875","13,375",1.85,"60,011",37.0,5.92,6,91.0,68.0,7579249.0
04027001003,AZ,2840.0,1341,3528.9,0.38,41431,32.6726342,-114.6272378,"7,152",72,1.01,"29,057",55.0,1.92,5,132.0,113.0,971560.0
16005001102,ID,2169.0,3888,1842.7,2.11,62682,42.8913767,-112.4369343,"106,785","2,268",2.12,"54,871",34.0,5.43,6,124.0,134.0,5515024.0
04027001200,AZ,10318.0,4081,2147.9,1.9,52970,32.6810113,-114.5907893,"235,968","6,208",2.63,"46,838",43.0,2.77,8,486.0,420.0,4929227.0
04027001100,AZ,790.0,4871,5664.0,0.86,50220,32.67363,-114.6112962,"366,208","28,992",7.92,"37,518",36.0,2.02,5,131.0,114.0,2193250.0
04019004715,AZ,1067.0,4647,1005.8,4.62,61243,32.496903,-110.9154587,"120,906","4,725",3.91,"53,357",52.0,13.2,1,275.0,278.0,1.1996238E7
16005001300,ID,1819.0,2613,5332.7,0.49,39324,42.8794885,-112.4457259,"66,096",864,1.31,"34,591",33.0,4.94,8,70.0,57.0,1278036.0
16005000900,ID,4328.0,2259,5647.5,0.4,31644,42.871091,-112.4460065,"19,560","1,464",7.48,"26,757",44.0,4.97,8,52.0,31.0,1046066.0
